SAP Num,Manufacturer part no.,Base model code,Processor,Memory,HDD,Graphics,Mouse and Trackpad,Keyboard Options,VESA Mount,Power,Colour,Stock,ALP,DAC
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,256GB Flash/SSD Storage,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1099.17,1066.55
5450375,Z0TH_2000459520_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,256GB Flash/SSD Storage,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1131.67,1098.63
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,8GB 2133MHz DDR4,256GB Flash/SSD Storage,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1165,1130.71
4328273,Z0TH_2000290467_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1024.17,994.37
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1057.5,1026.45
4399411,Z0TH_2000303191_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1065.84,1034.47
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1099.17,1066.55
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1131.67,1098.63
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Serial ATA Drive,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1165,1130.71
4328276,Z0TH_2000291423_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1099.17,1067.55
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1132.5,1099.63
5422767,Z0TH_2000454478_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1140.84,1107.65
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1174.17,1139.73
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1206.67,1171.81
,NOT YET CONFIGURED,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,1TB Fusion Drive,Intel Iris Plus Graphics 640,Magic Mouse 2 & Magic Trackpad Bundle,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1240,1203.89
4328277,Z0TH_2000291424_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,256GB Flash/SSD Storage,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,1,1174.17,1140.74
5449782,Z0TJ_2000460069_CTO_UK,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,256GB Flash/SSD Storage,Intel Iris Plus Graphics 640,Magic Mouse 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Select this to include a VESA mount (Stand not included),UK Power Supply,Silver,0,1207.5,1172.82
5466602,Z0TH_2000465272_CTO,MMQA2B/A,2.3GHz dual-core Intel Core i5 processor,16GB 2133MHz DDR4,256GB Flash/SSD Storage,Intel Iris Plus Graphics 640,Magic TrackPad 2,Apple Magic Keyboard - UK English (Please note: Power supply must be selected separately for all keyboards if required),Standard fit,UK Power Supply,Silver,0,1215.84,1180.84
