SAP Num,Manufacturer part no.,Base model code,Processor,Memory,HDD,Graphics,Mouse and Trackpad,Keyboard Options,Power,Colour,Stock,ALP,DAC
4573796,Z0UR_2000333016_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4836.67,4692.83
4573797,Z0UR_2000333015_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4919.17,4773.03
5243166,Z0UR_2000415165_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4907.5,4762.01
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4949.17,4802.11
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,2TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5031.67,4882.31
4573707,Z0UR_2000332482_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4982.5,4689.82
4573869,Z0UR_2000334086_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5024.17,4729.92
4573870,Z0UR_2000334087_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5106.67,4810.12
4573743,Z0UR_2000332174_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5395,5090.82
4573798,Z0UR_2000333014_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5436.67,5130.92
4573799,Z0UR_2000333013_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5519.17,5211.12
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5507.5,5200.1
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5549.17,5240.2
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",32GB 2666MHz DDR4 ECC memory,4TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,5631.67,5320.4
4573697,Z0UR_2000332473_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4382.5,4251.73
4573851,Z0UR_2000334069_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4424.17,4291.83
4573852,Z0UR_2000334070_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 56 with 8GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4506.67,4372.03
4573734,Z0UR_2000350876_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4795,4652.73
4573780,Z0UR_2000333382_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4836.67,4692.83
4573781,Z0UR_2000333379_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64 with 16GB of HBM2 memory,Magic Mouse 2 + Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4919.17,4773.03
5434488,Z0UR_2000457871_CTO,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Mouse 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4907.5,4762.01
,NOT YET CONFIGURED,MQ2Y2B/A,"3.2GHz 8-core Intel Xeon W processor, Turbo Boost up to 4.2GHz",64GB 2666MHz DDR4 ECC memory,1TB SSD,Radeon Pro Vega 64X with 16GB of HBM2 memory,Magic Trackpad 2 - Space Grey,Apple Magic Keyboard with numeric keypad (British) / User's Guide (English) - Space Grey,UK Power Supply,Space Grey,0,4949.17,4802.11
