"SAP Num","Manufacturer part no.","Base model code","Processor","Memory","HDD","Graphics","Keyboard Options","Power","Colour","Stock","ALP","DAC"
5512821,"Z0XZ_33_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2666MHz DDR4 memory","8TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,3949.17,3756.65
5512705,"Z0XZ_2000475490_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2299.17,2184.71
5512702,"Z0XZ_2000475489_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2374.17,2255.89
5512739,"Z0XZ_2000478130_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","512GB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2449.17,2328.07
5512858,"Z0XZ_2000475494_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2449.17,2328.07
5512931,"Z0XZ_2000475498_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2524.17,2399.25
5512969,"Z0XZ_2000481458_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","1TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2599.17,2471.43
5512859,"Z0XZ_2000475495_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5300M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2749.17,2613.78
5512932,"Z0XZ_59_UK_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5500M with 4GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2824.17,2684.96
5512970,"Z0XZ_2000478155_CTO","MVVJ2B/A","2.6GHz 6-core 9th-generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","32GB 2666MHz DDR4 memory","2TB SSD storage","AMD Radeon Pro 5500M with 8GB of GDDR6 memory","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",0,2899.17,2757.14
